code|description_serbian|description_latin
A27.9|Leptospiroza, neoznačena|Leptospirosis, non specificata
A28|Druge zoonoze|Zoonoses bacteriales aliae
A30|Guba - Hansenova bolest|Lepra (Morbus Hansen)
A30.0|Guba, neodređena|Lepra indefinita
A30.1|Tuberkuloidna guba|Lepra tuberculoides
A30.2|Granična tuberkuloidna guba|Lepra tuberculoides limitans
A30.3|Granična guba|Lepra limitans (borderline)
A30.4|Granična lepromatozna guba|Lepra lepromatosa limitans (borderline)
A30.5|Lepromatozna guba|Lepra lepromatosa
A30.8|Drugi oblici gube|Lepra, formae aliae
A30.9|Guba, neoznačena|Lepra, non specificata
A31|Druge bolesti uzrokovane mikobakterijama|Morbi mycobacteriales alii
A31.0|Infekcija pluća uzrokovana mikobakterijama|Infectio pulmonalis per mycobacterium
A31.1|Infekcija kože uzrokovana mikobakterijama|Infectio cutanea mycobacterialis
A31.8|Druge infekcije uzrokovane mikobakterijama|Infectiones mycobacteriales aliae
A31.9|Infekcija uzrokovana mikobakterijama ,neoznačena|Infectio mycobacterialis,non specificata
A32|Listerioza,uzročnik Listeria monocytogenes|Listeriosis
A32.0|Listerioza kože|Listeriosis cutanea
A32.1|Zapaljenje moždanica i moždanica sa mozgom uzrokovano listeriozom|Meningitis et meningoencephalitis listerialis
A32.7|Listeriozna sepsa|Listeriosis septica
A32.8|Drugi oblici listerioze|Listeriosis, formae aliae
A32.9|Listerioza, neoznačena|Listeriosis,non specificata
A33|Tetanus novorođenčeta|Tetanus neonati
A34|Porođajni tetanus|Tetanus puerperalis
A35|Drugi tetanus|Tetanus alius
A36|Difterija, - Gušobolja (teška)|Diphtheria
A36.0|Difterija ždrela|Diphtheria pharyngica
A36.1|Difterija nosa i ždrela|Diphtheria nasopharyngica
A36.2|Difterija grkljana|Diphtheria laryngica
A36.3|Difterija kože|Diphtheria cutanea
A36.8|Druga difterija|Diphtheria alia
A36.9|Difterija, neoznačena|Diphtheria, non specificata
A37|Veliki kašalj|Pertussis
A37.0|Veliki kašalj , uzročnik Bordetella pertussis|Pertussis
A37.1|Kašalj, uzročnik Bordetella parapertussis|Parapertussis per Bordetellam parapertussis
A37.8|Kašalj,uzročnik Bordetella druge vrste|Parapertussis per Bordetellam speciei alterius
A37.9|Veliki kašalj, neoznačen|Pertussis, non specificata
A38|Šarlah|Scarlatina
A39|Infekcija uzrokovana meningokokom|Infectio meningococcica
A39.0|Zapaljenje moždanica uzrokovano meningokokom|Meningitis meningococcica (G01*)
A39.1|Sindrom Waterhouse - Friderichsen|Syndroma Waterhouse - Friderichsen (E35.1*)
A39.2|Akutna sepsa - trovanje uzrokovano meningokokom|Sepsis meningococcica acuta
A39.3|Hronična sepsa-trovanje uzrokovano meningokokom|Meningococcaemia chronica
A39.4|Sepsa-trovanje uzrokovano meningokokom, neoznačena|Meningococcaemia, non specificata
A39.5|Bolest srca uzrokovana meningokokom|Morbus cordis meningococcica
A39.8|Druge infekcije uzrokovane meningokokom|Infectiones meningococcicae aliae
A39.9|Infekcija uzrokovana meningokokom,neoznačena|Infectio meningococcica, non specificata
A40|Sepsa - trovanje uzrokovano streptokokom|Septicaemia streptococcica
A40.0|Sepsa uzrokovana streptokokom grupe A|Septicaemia streptococcica A
A40.1|Sepsa uzrokovana streptokokom grupe B|Septicaemia streptococcica B
A40.2|Sepsa uzrokovana streptokokom grupe D|Septicaemia streptococcica D
A40.3|Sepsa uzrokovana pneumokokom|Septicaemia pneumococcica
A40.8|Druge sepse uzrokovane streptokokom|Septicaemiae streptococcicae aliae
A40.9|Sepsa uzrokovana streptokokom, neoznačena|Septicaemia streptococcica, non specificata
A41|Druge sepse - trovanja|Septicaemia alia
A41.0|Sepsa, uzročnik Staphylococcus aureus|Septicaemia staphylococcica
A41.1|Sepsa koju uzrokuje drugi označeni stafilokok|Septicaemia staphylococcica alia,specificata
A41.2|Neoznačena sepsa uzrokovana stafilokokom|Septicaemia staphylococcica, non specificata
A41.3|Sepsa,uzročnik Haemophilus influenzee|Septicaemia per Haemophilum influenzae
A41.4|Sepsa uzrokovana anaerobnim bacilima|Septicaemia anaerobica
A41.5|Sepsa uzrokovana drugim Gram-negativnim organizmima|Septicaemia organismica per organismos Gramos-negativos alios
A41.8|Druga označena sepsa|Septicaemia alia, specificata
A41.9|Sepsa, neoznačena|Septicaemia, non specificata
A42|Aktinomikoza, uzročnik Actinomyces|Actinomycosis
A42.0|Aktinomikoza pluća|Actinomycosis pulmonalis
A42.1|Aktinomikoza trbuha|Actinomycosis abdominalis
A42.2|Aktinomikoza vrata i lica|Actinomycosis cervicofacialis
A42.7|Sepsa - trovanje uzrokovano aktinomicesom|Septicaemia actinomycotica
A42.8|Drugi oblici aktinomikoze|Actinomycosis, formae aliae
A42.9|Aktinomikoza, neoznačena|Actinomycosis, non specificata
A43|Nokardioza, uzročnik Nocardia|Nocardiosis
A43.1|Nokardioza pluća|Nocardiosis pulmonalis
A43.2|Nokardioza kože|Nocardiosis cutanea
A43.8|Drugi oblici nokardioze|Nocardiosis, formae aliae
A43.9|Nokardioza, neoznačena|Nocardiosis, non specificata
A44|Bartoneloza, uzročnik Bartonella|Bartonellosis
A44.0|Sistemska bartoneloza|Bartonellosis systematica
A44.1|Bartoneloza kože i sluznice|Bartonellosis cutanea et mucocutanea
A44.8|Drugi oblici bartoneloze|Bartonellosis, formae aliae
A44.9|Bartoneloza, neoznačena|Bartonellosis, non specificata
A46|Crveni vetar|Erysipelas
A48|Druge bakterijske bolesti|Morbi bacteriales alii
A48.0|"""Gasna""gangrena (truležno izumiranje tkiva)"|Gas gangraena
A48.1|Legioneloza, bolest legionara|Legionellosis
A48.2|Legioneloza lokalizovana izvan pluća|Legionellosis extrapulmonalis
A48.3|Toksički šok|Afflictus (shock) toxicus
A48.4|Brazilska osipna groznica|Febris brasiliana purpurica
A48.8|Druge označene bakterijske bolesti|Morbi bacteriales alii, specificati
A49|Bakterijska infekcija neoznačene lokalizacije|Infectio bacterialis, loci non specificati
A50|Urođeni sifilis|Syphilis congenita
A50.0|Rani urođeni simptomatski sifilis|Syphilis symptomatica praecox congenita
A50.1|Rani urođeni latentni sifilis|Syphilis praecox latensi congenita
A50.2|Rani urođeni sifilis, neoznačen|Syphilis praecox congenita, non specificata
A50.3|Pozno sifilisno urođeno oboljenje oka|Oculopathia syphilitica tarda congenita
A50.4|Mladalački neurosifilis|Neurosyphilis juvenilis tarda congenita
A50.5|Drugi pozni urođeni simptomatski sifilis|Syphilis symptomatica tarda congenita alia
A50.6|Pozni urođeni latentni sifilis|Syphilis tarda latens, congenita
A50.7|Pozni urođeni sifilis, neoznačen|Syphilis tarda congenita, non specificata
A50.9|Urođeni sifilis, neoznačen|Syphilis congenita, non specificata
A51|Sveži sifilis|Syphilis recens
A51.0|Primarni sifilis polnih organa|Syphilis genitalis primaria
A51.1|Primarni sifilis čmara|Syphilis analis primaria
A51.2|Primarni sifilis drugih lokalizacija|Syphilis primaria, locorum allorum
A51.3|Sekundarni sifilis kože i sluznice|Syphilis cutis et mucosae secundaria
A51.4|Drugi sekundarni sifilis|Syphilis secundaria alia
A51.5|Sveži latentni sifilis|Syphilis recens latens
A51.9|Sveži sifilis, neoznačen|Syphilis recens, non specificata
A52|Pozni sifilis|Syphilis tarda
A52.0|Sifilis srca i krvnih sudova|Syphilis cardiovascularis
A52.1|Simptomatski sifilis nervnog sistema|Neurosyphilis symptomatica
A52.2|Asimptomatski sifilis nervnog sistema|Neurosyphilis asymptomatica
A52.3|Sifilis nervnog sistema, neoznačen|Neurosyphilis, non specificata
A52.7|Drugi pozni simptomatski sifilis|Syphilis symptomatica tarda alia
A52.8|Pozni latentni sifilis|Syphilis tarda latens
A52.9|Pozni sifilis, neoznačen|Syphilis tarda, non specificata
A53|Drugi neoznačeni sifilis|Syphilis alia et non specificata
A53.0|Latentni sifilis, neoznačen kao rani ili pozni|Sifilis latens, ut recens sive tarda,non specificata
A53.9|Sifilis, neoznačen|Syphilis, non specificata
A54|Infekcija gonokokom|Infectio gonococcica
A54.0|Infekcija gonokokom donjeg dela polno-mokraćnih puteva bez zagnoja oko mokraćne cevi ili žlezde|Infectio tractus genitourinarii inferioris gonococcica cum abscesu periurethrali et glandulae acce.
A54.1|Infekcija gonokokom donjeg dela polno-mokraćnih puteva sa zagnojem oko mokraćne cevi i žlezde|Infectio tractus genitourinarii inferioris gonococc.cum abscessu periurethrali et glandu.accessoriae
A54.2|Zapaljenja karlične potrbušnice i ostale infekcije polno-mokraćnih puteva uzrokovana gonokokom|Pelviperitonitis et infectiones genitourinarie gonococcicae aliae
A54.3|Infekcija oka gonokokom|Infectio oculi gonococcica
A54.4|Infekcija mišićno-skeletnog sistema gonokokom|Infectio systematis musculosceletalis gonococcica
A54.5|Zapaljenje ždrela uzrokovano gonokokom|Pharyngitis gonococcica
A54.6|Infekcija čmara i završnog creva gonokokom|Infectio ani et recti gonococcica
A54.8|Druge infekcije gonokokom|Infectio gonococcica alia
A54.9|Infekcija gonokokom, neoznačena|Infectio gonococcica, non specificata
A55|Venerički limfogranulom, uzročnik Chlamydia|Lymphogranuloma per infectionem Chlamydia (venericam)
A56|Polne infekcije uzrokovane hlamidijom prenete na drugi način|Infectiones sexuales chlamydiales modo alio transmissae
A56.0|Infekcija donjeg dela polno-mokraćnih puteva uzrokovana hlamidijom|Infectio tractus genitourinarii inferioris, chlamydialis
A56.1|Infekcija karlične potrbušnice i drugih polno-mokraćnih organa uzrokovana hlamidijom|Infectio pelviopernitonaei et organorum genitourinariorum aliorum chlamydialis
A56.2|Polno-mokraćna infekcija uzrokovana hlamidijom, neoznačena|Infectio tractus genitourinarii, chlamydialis, non specificata
A56.3|Infekcija čmara i završnog creva uzrokovana hlamidijom|Infectio ani et recti chlamydialis
A56.4|Infekcija ždrela uzrokovana hlamidijom|Infectio pharyngis,chlamydialis
A56.8|Infekcija preneta polnim odnosom, drugih lokalizacija uzrokovana hlamidijom|Infectio chlamydialis, modo sexuali transmissa, locorum aliorum
A57|Meki šankr|Ulcus mole
A58|Zrnasti tumor prepone|Granuloma inguinale
A59|Trihomonijaza, uzročnik Trichomonas vaginalis|Trichomoniasis
A59.0|Trihomonijaza polno-mokraćnog pribora|Trichomoniasis urogenitalis
A59.8|Trihomonijaza drugih lokalizacija|Trichomoniasis locorum aliorum
A59.9|Trihomonijaza, neoznačena|Trichomoniasis, non specificata
A60|čmarno-polna infekcija uzrokovana virusom herpesa|Infectio herpetica viralis regionis anogenitalis
A60.0|Infekcija polnih organa i mokraćno-polnog pribora uzrokovana virusom herpesa|Infectio genitaliorum et tractus urogenitalis, herpesviralis
A60.1|Infekcija kože okoline čmara i završnog creva uzrokovana virusom herpesa|Infectio cutis perianalis et recti, herpesviralis
A60.9|čmarno-polna infekcija uzrokovana virusom herpesa, neoznačena|Infectio anogenitalis herpesviralis, non specificata
A63|Druge bolesti prenete pretežno polnim odnosom|Morbi praedominanter modo sexuali transmissi alii
A63.0|čmarno-polne bradavice|Verrucae anogenitales
A63.8|Druge označene bolesti prenete pretežno polnim odnosom|Morbi praedominanter modo sexuali trensmissi alii, specificati
A64|Neoznačena bolest preneta polnim odnosom|Morbus modo sexuali transmissus, non specificatus
A65|Sifilis van polnih organa|Syphilis non venerica
A66|Frambezijaze, uzročnik Treponaema pertenuis|Framboesia
A66.0|Početne lezije uzrokovane frambezijom|Laesiones framboesiales initiales
A66.1|Mnogobrojne kvržice i vlažne grizlice uzrokovane frambezijom|Papillomata multiplicia et ulcera humida framboesialia
A66.2|Druga sveža oštećenja kože uzrokovana frambezijom|Laesiones cutis framboesiales initiales sive praecoces aliae
A66.3|Zadebljanja rožastog sloja kože uzrokovana frambezijom|Hyperkeratosis framboesialis
A66.4|Gume i grizlice uzrokovane frambezijom|Gummata et ulcera framboesialia
A66.5|Nosno-ždrelna unakaženost uzrokovana frambezijom|Gangosa
A66.6|Lezije kostiju i zglobova uzrokovane frambezijom|Laesiones ossium et articulorum framboesiales
A66.7|Druge manifestacije uzrokovane frambezijom|Manifectationes framboesiales aliae
A66.8|Latentna frambezija|Framboesia latens
A66.9|Frambezija, neoznačena|Framboesia, non specificata
A67|Pinta - ljuskasto-pegasto oboljenje kože|"Pinta-""mal del pinto"""
A67.0|Primarne lezije pinte|"Laesiones ""pinta"" primariae"
A67.1|Periodične lezije pinte|"Laesiones ""pinta"" intermediae"
A67.2|"Pozne lezije ""pinte"""|"Laesiones ""pinta"" tardae"
A67.3|Mešovite lezije pinte|"Laesiones ""pinta"" mixtae"
A67.9|Pinta, neoznačena|Pinta, non specificata
A68|Povratna groznica|Febris recurrens
A68.0|Povratna groznica uzrokovana vašima|Febris recurrens pedicularis
A68.1|Povratna groznica uzrokovana krpeljima|Febris recurrens ixodibus transmissa
A68.9|Povratna groznica, neoznačena|Febris recurrens, non specificata
A69|Druge infekcije spirohetama|Infectiones spirochaetales aliae
A70|Hlamidijaza, uzročnik Chlamydia psittaci|Infectio per Chlamydiam
A71|Trahom - Misirska okobolja|Trachoma
A71.0|Početni trahom|Trachoma incipiens
A71.1|Aktivni trahom|Trachoma floridum
A71.9|Trahom, neoznačen|Trachoma, non specificatum
A74|Druge hlamidijaze|Morbi chlamydiales alii
A75|Pegavac - tifusna groznica koju prenose vaši|Febris typhica pediculis transmissa
A75.0|Pegavi tifus, uzročnik Rickettsia prowazeki|Typhus exanthematosus per Rickettsiam prowazeki
A75.1|Brillova bolest|Morbus Brill
A75.2|Pegavac, uzročnik Rickettsia typhi|Febris typhica per Rickettsiam typhi
A75.3|Pegavac, uzročnik Rickettsia tsutsugamushi|Febria typhica per Rickettsiam tsutsugamushi
A75.9|Pegavac, neoznačen|Febris typhica, non specificata
A77|Osipna groznica koju prenose krpelji|Febris exanthematosa ixodibus transmissa
A77.0|Osipna groznica, uzroč.Rickettsia rickettsii|Febris exanthematosa per Rickettsiam rickettsii
A77.1|Osipna groznica, uzročnik Rickettsia conori|Febris exanthematosa per Rickettsiam conori
A77.2|Osipna groznica, uzročnik Rickettsia siberica|Febris exanthematosa per Rickettsiam sibericam
A77.3|Osipna groznica, uzročnik Rickettsia australis|Ferbis exanthematosa per Rickettsiam australensem
A77.8|Druge osipne groznice koje prenose krpelji|Febres exanthematosae ixodibus transmissae aliae
A77.9|Osipna groznica koju prenose krpelji, neoznačena|Febris exanthematosa, non specificata
A78|Kju-groznica|Febris Q
A79|Druge rikecioze|Rickettsioses aliae
A80|Akutna dečja paraliza|Poliomyelitis anterior acuta
A80.0|Akutna dečja paraliza,posle vakcinacije|Poliomyelitis paralytica acuta, postvaccinalis
A80.1|Akutna dečja paraliza,divlji importovani virus|Poliomyelitis paralytica acuta (virus importatum)
A80.2|Akutna dečja paraliza, domaći virus|Poliomyelitis paralytica acuta (virus autochtonum)
A80.3|Druga i neoznačena akutna dečja paraliza|Poliomyelitis paralytica acuta, alia, non specificata
A80.4|Druga akutna neparalitička dečja paraliza|Poliomyelitis acuta, non paralytica
A80.9|Akutna dečja paraliza, neoznačena|Poliomyelitis acuta, non specificata
A81|Spore infekcije centralnog nervnog sistema uzrokovane virusima|Infectiones systematis nervosi centralis virales lentae
A81.0|Creutzfeldt-Jakobova bolest|Morbus Creutzfeldt-Jakob
A81.1|Subakutno sklerozirajuće difuzno zapaljenje mozga|Panencephalitis scleroticans subacuta
A81.2|Progresivno višežarišno oboljenje bele moždane mase|Leucoencephalopathia multifocaiia progressiva
A81.8|Druge spore infekcije centralnog nervnog sistema uzrokovane virusom|Infectiones aystematis nervosi centralis virales lentae aliae
